@relation acc
@attribute lat numeric
@attribute lon numeric
@attribute airtemp numeric
@attribute groundtemp numeric
@attribute hours numeric
@attribute acc {Y, N}
@data
47.718266,-122.29583,50.92, 51.45,8, Y 
47.69152,-122.37681,50.91, 51.79,10, Y 
47.59792,-122.31723,50.65, 52.13,9, Y 
47.624573,-122.3541,50.74, 51.53,8, Y 
47.551384,-122.381676,50.59, 50.75,8, Y 
47.618534,-122.338486,51.15, 52.35,9, Y 
47.59833,-122.31341,50.88, 52.22,9, Y 
47.674355,-122.32341,53.23, 54.71,12, Y 
47.7229,-122.2932,53.13, 54.72,12, Y 
47.67578,-122.31193,53.28, 54.79,12, Y 
47.642914,-122.36491,51.34, 52.80,11, Y 
47.607216,-122.320755,50.56, 51.48,8, Y 
47.704,-122.35544,50.72, 50.37,7, Y 
47.60802,-122.307625,50.58, 51.40,8, Y 
47.527393,-122.32825,51.38, 52.35,10, Y 
47.621075,-122.32089,50.77, 51.44,9, Y 
47.56466,-122.37257,52.77, 54.46,12, Y 
47.5475,-122.32144,52.41, 54.38,11, Y 
47.62205,-122.34107,52.57, 54.88,12, Y 
47.571373,-122.366,53.06, 54.75,12, Y 
47.607384,-122.29154,52.90, 55.16,12, Y 
47.52913,-122.26999,48.69, 49.86,7, Y 
47.566433,-122.30647,47.69, 48.50,9, Y 
47.648098,-122.32397,48.46, 49.71,7, Y 
47.608025,-122.30893,47.44, 48.26,9, Y 
47.570423,-122.36223,48.63, 48.28,8, Y 
47.57101,-122.3497,50.10, 49.15,10, Y 
47.61569,-122.35241,47.75, 48.36,9, Y 
47.59921,-122.31414,48.22, 49.59,7, Y 
47.698982,-122.376785,47.51, 48.07,9, Y 
47.53965,-122.33634,48.63, 49.49,10, Y 
47.591354,-122.3342,47.90, 48.65,9, Y 
47.588715,-122.292534,48.38, 49.49,10, Y 
47.596676,-122.325714,48.45, 49.94,11, Y 
47.586174,-122.327545,47.96, 48.67,8, Y 
47.579807,-122.329056,49.86, 50.87,9, Y 
47.683098,-122.31644,50.83, 52.26,12, Y 
47.62237,-122.362976,49.49, 50.67,9, Y 
47.663567,-122.31839,45.81, 45.53,10, Y 
47.695644,-122.29058,48.62, 49.76,8, Y 
47.670914,-122.38759,45.10, 44.92,8, Y 
47.685318,-122.32294,43.95, 43.88,8, Y 
47.61313,-122.33629,46.02, 45.82,10, Y 
47.557465,-122.36292,45.98, 45.23,8, Y 
47.700775,-122.30957,44.05, 43.94,8, Y 
47.548885,-122.311134,45.94, 46.20,11, Y 
47.55996,-122.33807,46.27, 45.49,9, Y 
47.610683,-122.34196,46.08, 45.85,10, Y 
47.548504,-122.26343,45.36, 45.09,8, Y 
47.590313,-122.336784,49.73, 51.05,8, Y 
47.547356,-122.32015,46.09, 46.12,11, Y 
47.630882,-122.37392,45.98, 45.70,10, Y 
47.66943,-122.31629,46.22, 45.87,11, Y 
47.676823,-122.37676,48.19, 47.66,12, Y 
47.599186,-122.31722,45.23, 45.22,10, Y 
47.688725,-122.3768,48.15, 47.64,12, Y 
47.661335,-122.324036,51.61, 54.63,12, Y 
47.682564,-122.34496,48.72, 49.91,8, Y 
47.612663,-122.337395,46.30, 48.38,2, Y 
